"Company","Parent Company","Location","City","County","Address","Zip","Project Description","NAICS Industry Code","Year","Subsidy Value","Megadeal Contribution","Subsidy Value Adjusted For Megadeal","Program Name","Awarding Agency","Type of Subsidy","Number of Jobs or Training Slots","Wage Data","Wage Data Type","Investment Data","Source of Data","Notes","Subsidy Source","CFDA Program Number","Loan Value","State in Which Facility Is Located","HQ State of Parent","HQ Country of Parent","Ownership Structure","Major Industry of Parent","Specific Industry of Parent"
"NORTHWEST RESEARCH ASSOCIATES  INC.","","United States","","","","","TO COMPUTE THE LORENTZ FORCE DENSITY  WE PROPOSE TO RETRIEVE THE VARIATION IN HEIGHT (AS WELL AS LATERAL SPACE) OF THE MAGNETIC FIELD VECTOR THROUGH THE USE OF ESTABLISHED INVERSION CODES APPLIED TO HIGH SPECTRAL RESOLUTION POLARIMETRIC DATA ACQUIRED BY THE HINODE/SOT SPECTROPOLARIMETER. BY RETRIEVING THE HEIGHT VARIATION OF THE MAGNETIC FIELD  IT WILL BE POSSIBLE TO DETERMINE THE FULL CURRENT DENSITY  AND THUS GENERATE MAPS OF THE LORENTZ FORCE DENSITY ITSELF WITHOUT MAKING ASSUMPTIONS ABOUT THE BEHAVIOR OF THE MAGNETIC FIELD. WE WILL EMPLOY THE NICOLE INVERSION CODE  BUT DEVELOP IMPROVED IMPLEMENTATION STRATEGIES  WITH THE GOAL OF MORE ROUTINE PRODUCTION OF HEIGHT DEPENDENT INVERSION PRODUCTS. THE ACTIVE REGION TARGETS FOR THIS PROJECT HAVE HINODE/SP SCANS TAKEN BEFORE AND AFTER A SELECTION OF MAJOR FLARES THAT VARY IN THEIR FLARE-RELATED ACOUSTIC ACTIVITY. THE PRIMARY EMPHASIS OF THE PROPOSED INVESTIGATION IS A NOVEL ANALYSIS OF DATA FROM THE HINODE MISSION  SUPPLEMENTED BY ANALYSIS OF DATA FROM SDO  WHICH ARE BOTH CURRENTLY-OPERATING MISSIONS OF THE HELIOPHYSICS SYSTEM OBSERVATORY (HSO). THE ANTICIPATED RESULTS WOULD ADDRESS THE FIRST AND FOURTH HIGH LEVEL SCIENCE GOALS FROM THE HELIOPHYSICS DECADAL SURVEY  NAMELY  TO ""DETERMINE THE ORIGINS OF THE SUN S ACTIVITY AND PREDICT THE VARIATIONS IN THE SPACE ENVIRONMENT"" AND TO ""DISCOVER AND CHARACTERIZE FUNDAMENTAL PROCESSES THAT OCCUR BOTH WITHIN THE HELIOSPHERE AND THROUGHOUT THE UNIVERSE."" THE PROPOSED INVESTIGATION WILL CHARACTERIZE FUNDAMENTAL PROCESSES OCCURRING AT THE PHOTOSPHERE DURING A FLARE  POTENTIALLY LEADING TO INSIGHT INTO ONE MANIFESTATION OF THE SUN'S ACTIVITY. INSOFAR AS FLARES ALSO OCCUR ON OTHER STARS  IT MAY CHARACTERIZE A PROCESS OCCURRING THROUGHOUT THE UNIVERSE.","","2018","$289,411","$0","$289,411","NASA Science Grants","National Aeronautics and Space Administration","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","43.001","","Washington", "","","","",""
"BUFFALO NIAGARA INTERNATIONAL TRADE FOUNDATIO","","United States","","","","","PROCUREMENT TECHNICAL ASSISTANCE PROGRAM","","2018","$289,564","$0","$289,564","Procurement Technical Assistance For Business Firms","Defense Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","12.002","","New York", "","","","",""
"G & A TECHNICAL SOFTWARE INC","","United States","","","","","NEUTRAL ATMOSPHERE - IONOSPHERE COUPLING AT SMALL SCALESSECTIONOBJECTIVES:WE PROPOSE TO ADDRESS NEUTRAL ATMOSPHERE - IONOSPHERE COUPLING AT SMALL SPATIAL SCALES INITIATED BY GRAVITY WAVES (GWS) ARISING FROM VARIOUS SOURCES IN THE LOWER NEUTRAL ATMOSPHERE. SPECIFIC RESEARCH GOALS ARE ANTICIPATED TO INCLUDE THE FOLLOWING:1) EXPLORATION OF GW INITIATION OF MSTIDS AT MID-LATITUDES  AND THE DEPENDENCE OF GENERATION EFFICIENCY ON GW SCALES  ORIENTATIONS  AND AMPLITUDES 2) CONTRIBUTIONS BY UPWARD-PROPAGATING OR DUCTED GWS TO MID-LATITUDE SPREAD F  AND3) RESPONSES TO SPECIFIC GW SOURCES  ESPECIALLY DEEP CONVECTION AND AURORAL HEATING. PROPOSED METHODS:OUR APPROACH WILL EMPLOY TWO STATE-OF-THE-ART MODELS THAT HAVE ALREADY BEEN APPLIED TO A RANGE OF NEUTRAL AND PLASMA PROBLEMS. THESE INCLUDE:1) A FINITE-VOLUME 3D CODE DESCRIBING GW GENERATION  PROPAGATION  INTERACTIONS AND INSTABILITIES FROM THE GW SOURCES TO ~300-400 KM IN EITHER A COMPRESSIBLE OR AN ANELASTIC FRAMEWORK  AND 2) A 3D ELECTRODYNAMICS CODE THAT DESCRIBES PLASMA INSTABILITIES AND TURBULENCE AND CAN EMPLOY NEUTRAL FORCING IN VARIOUS FIELD AND PLASMA CONFIGURATIONS.  IN OUR APPLICATIONS  THE NEUTRAL FV CODE WILL PROVIDE THE INITIAL AND BOUNDARY CONDITIONS FOR THE ED CODE  WHICH WILL THEN ALLOW US TO EXAMINE THE PLASMA RESPONSES AND THE COUPLING PHYSICS. PERCEIVED SIGNIFICANCE:OUR PROPOSED RESEARCH WOULD ADDRESS NEUTRAL ATMOSPHERE - IONOSPHERE COUPLING AT SMALL SPATIAL SCALES THAT ARE DIFFICULT OR IMPOSSIBLE TO QUANTIFY WITH CURRENT OBSERVATIONAL METHODS. OUR RESEARCH FOCUS WOULD ALSO HAVE SPECIFIC RELEVANCE TO SEVERAL STRATEGIC GOALSARTICULATED IN THE NASA HELIOPHYSICS 2009-2030 ROADMAP  INCLUDING THE FOLLOWING F3.1 (AND H3.1): ""WHAT GOVERNS THE COUPLING OF NEUTRAL AND IONIZED SPECIES?""F3.2 (AND F3.2): ""HOW DO COUPLED MIDDLE AND UPPER ATMOSPHERES RESPOND TO EXTERNAL DRIVERS AND TO EACH OTHER?F3.3: ""WHAT IS RESPONSIBLE FOR THE DRAMATIC VARIABILITY IN MANY OF THE STATE VARIABLES DESCRIBING THE IONOSPHERE-THERMOSPHEREMESOSPHERE (ITM) REGION?""","","2018","$291,191","$0","$291,191","NASA Science Grants","National Aeronautics and Space Administration","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","43.001","","Virginia", "","","","",""
"DYNAFLOW  INC","","United States","","","","","WE REQUEST FROM NASA TO CONTINUE OUR EFFORTS BEYOND AUGUST 24 2015  THE END DATE OF THE ON GOING NNX11AO76A GRANT UNDER A NEW YEAR PROGRAM TO CONTINUE OUR INVESTIGATIONS AND DEVELOPMENT OF BUBBLY FLOW SEPARATION TECHNIQUES AND MODELING AND IMPROVEMENT OF INSTRUMENTATION FOR TWO PHASE FLOW CHARACTERIZATION.WE PROPOSE TO ACCOMPLISH THE FOLLOWING TASKS DURING THIS PERIOD.TASK 1. EXPAND THE R AND D FURTHER TOWARDS THE SCIENCE AND DISCOVERY ASPECTS AS RECOMMENDED BY THE PANEL MEMBERS OF THE SCIENCE CONCEPT REVIEW (SCR).TASK 2. CONTINUE TO FURTHER IMPROVE THE DYNASWIRL PHASE SEPARATOR INTO AN EFFICIENT DEVICE  WHICH COVER A LARGE RANGE OF VOID FRACTIONS. CHARACTERIZE THE DESIGNS THROUGH GROUND AND REDUCED GRAVITY FLIGHT TESTS. IMPROVE THE ROBUSTNESS AND RELIABILITY OF MEMBRANE FOR GAS EXTRACTION AND EXPLORE ALTERNATIVE SCHEMES TO REPLACE THE MEMBRANE CONCEPT.TASK 3. PROVIDE SUPPORTS TO NASAS DESIGN  CONSTRUCTION AND TEST EFFORTS TO BUILD AN ISS READY TEST RIG. SUPPLY PERTINENT TEST SECTIONS AND RELATED MEASUREMENT DEVICES THAT WILL BE USED FOR BOTH GROUND TEST AND THE ISS EXPERIMENT. PROVIDE NASA WITH AN ABS SYSTEM FOR USE AT NASA FACILITIES.TASK 4. CONDUCT NUMERICAL SIMULATIONS TO GUIDE DESIGN AND OPERATION OF THE DYNASWIRL TWO PHASE SEPARATOR. TASK 5. DEVELOP ACCURATE LOCAL VOID FRACTION MEASUREMENT TECHNIQUES OF BOTH INPUT AND OUTPUT FROM THE PHASE SEPARATOR  INCLUDING IMPEDANCE PROBES  AND THE ABS ACOUSTIC BUBBLE SPECTROMETER","","2018","$291,224","$0","$291,224","NASA Space Operations Grants","National Aeronautics and Space Administration","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","43.007","","Maryland", "","","","",""
"GENERAL ELECTRIC COMPANY","General Electric","United States","","","","","AUTONOMOUS SUSTAINMENT TECHNOLOGIES FOR ROTORCRAFT OPERATIONS PROPULSION SYSTEMS","","2018","$291,500","$0","$291,500","Basic, Applied, and Advanced Research in Science and Engineering","Defense Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","12.63","","Ohio", "Massachusetts","USA","publicly traded","diversified","diversified"
"KONEKSYS LLC","","United States","","","","","INTEGRATION OF SYSTEMS MODELS WITH FINITE ELEMENT ANALYSIS","","2018","$292,000","$0","$292,000","Measurement and Engineering Research and Standards","Commerce Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","11.609","","California", "","","","",""
"GENERAL ATOMICS","General Atomics","United States","","","","","CENTER FOR TOKAMAK TRANSIENTS SIMULATIONS","","2018","$295,000","$0","$295,000","Office of Science Financial Assistance Program","Energy Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","81.049","","California", "California","USA","privately held","aerospace and military contracting","aerospace & military contracting"
"AEROJET ROCKETDYNE OF DE, INC","Aerojet Rocketdyne","United States","","","","","TAS::97X 3600::TAS DEFENSE PRODUCTION ACT TITLE III ADDITIVE MANUFACTURING FOR LIQUID ROCKET ENGINES","","2018","$296,686","$0","$296,686","Air Force Defense Research Sciences Program","Defense Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","12.8","","California", "California","USA","publicly traded","aerospace and military contracting","aerospace & military contracting"
"BIGELOW LABORATORY FOR OCEAN SCIENCES","","United States","","","","","EAGER: A SATURATION APPROACH TO MICROZOOPLANKTON GRAZING RATE DETERMINATION","","2018","$297,424","$0","$297,424","NSF Geosciences Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.05","","Maine", "","","","",""
"PHOTON SYSTEMS  INC.","DowDuPont","United States","","","","","THIS PROPOSAL ADDRESSES THE NEED FOR AN ULTRA-COMPACT DEEP UV (DUV) SOURCE EMITTING IN THE 230 NM TO 240 NM SPECTRAL RANGE TO ENABLE NEW ULTRA-COMPACT TRACE ORGANIC CHEMICAL&WATER ICE IMAGING AND POINT DETECTION RAMAN&FLUORESCENCE INSTRUMENTS FOR LANDER MISSIONS TO  OCEAN WORLDS  OF THE OUTER SOLAR SYSTEM AND SMALL TO MEDIUM CLASS DISCOVERY/NEW FRONTIERS LANDER MISSIONS TO PRIMITIVE BODIES  DWARF PLANETS AND ASTEROIDS. DETECTION OF ORGANICS  PREBIOTIC  AND BIOLOGICAL MATERIAL AND WATER ICE AND THEIR SPATIAL DISTRIBUTION ARE FUNDAMENTAL CAPABILITIES REQUIRED TO MEET NASA STRATEGIC GOALS. THE NEW SOURCE IS CALLED A LIGHT EMITTING TRIODE (LET) WHICH GENERATES INTENSE DUV LIGHT AT WAVELENGTHS THAT SEPARATE THE SPECTRAL REGIONS IN WHICH RAMAN AND FLUORESCENCE EMISSIONS OCCUR. THE RESULT IS NO SPECTRAL OVERLAP OR OBSCURATION OF RAMAN BANDS BY FLUORESCENCE AND NO ALTERATION OF FLUORESCENCE EMISSION SPECTRA BY STRONG RAMAN BANDS  THUS ENABLING TWO INDEPENDENT AND ORTHOGONAL SETS OF SPECTRAL INFORMATION TO ENHANCE IDENTIFICATION OF TRACE MATERIAL ON TARGETED SURFACES. DEEP UV NATIVE FLUORESCENCE IS THE ONLY KNOWN MEASUREMENT TECHNIQUE THAT CAN PROVIDE SUB-PARTS-PER-BILLION SENSITIVITY FOR ORGANIC COMPOUNDS WITHOUT ANY SAMPLE ACQUISITION  PROCESSING  OR USE OF REAGENTS. FLUORESCENCE PROVIDES VALUABLE SCIENTIFIC INFORMATION ABOUT THE OVERALL ELECTRONIC CONFIGURATION OF COMPOUNDS  ENABLING DETECTION AND DIFFERENTIATION OF AROMATIC RING STRUCTURES OF VARYING RING NUMBERS AND CONFORMATIONAL ARRANGEMENTS. IN ADDITION  ORGANIC COMPOUNDS ON LOW TEMPERATURE ICY PLANETARY BODIES EXHIBIT MOLECULAR VIBRATIONAL FEATURES  SIMILAR TO RAMAN SCATTERING OF ORGANIC COMPOUNDS BUT WITH THE SENSITIVITY OF FLUORESCENCE  THAT PROVIDE STRUCTURAL DETAILS SUCH AS THE ARRANGEMENT OF METHYL GROUPS AND THE PRESENCE AND VARIABILITY OF FUNCTIONAL GROUPS (P. JOHNSON  2011). DEEP UV FLUORESCENCE HAS ALSO BEEN DEMONSTRATED TO UNIQUELY DIFFERENTIATE ORGANIC COMPOUNDS FROM COMPOSITE MATERIALS SUCH AS MICROBIAL SPORES OR CELLS (BHARTIA  ET.AL. 2008). THE KEY ENABLING REQUIREMENT OF ALL OF THESE INSTRUMENTAL CAPABILITIES  WHETHER POINT DETECTION  MAPPING  OR IMAGING  IS THE AVAILABILITY OF A DEEP UV LIGHT SOURCE EMITTING IN THE 230 NM TO 240 NM SPECTRAL RANGE WITH HIGH SOURCE RADIANCE AND RELATIVELY NARROW EMISSION BANDWIDTH. THE FOCUS OF THIS PROPOSAL IS THEREFORE TO DEVELOP A DUV-LET EMITTING IN THE 230 NM TO 240 NM SPECTRAL RANGE WHICH HAS A SIZE ABOUT 1 CC  A WEIGHT ABOUT 5 G  AND POWER CONSUMPTION LESS THAN ABOUT 100 MW. THIS DUV SOURCE IS OVER 250 TIMES SMALLER AND LIGHTER THAN THE DUV LASER WHICH CURRENTLY POWERS THE MARS 2020 SHERLOC DEEP UV RAMAN AND FLUORESCENCE INSTRUMENT AND CAN HAVE A SIGNIFICANT IMPACT ON FUTURE OVERALL INSTRUMENT SIZES AND WEIGHTS. THE DUV-LET SOURCE EMPLOYS A SUBMINIATURE ELECTRON BEAM PUMPED ALGAN SEMICONDUCTOR WITH ABOUT 75% AL IN THE MULTIPLE QUANTUM WELLS TO PROVIDE EMISSION AT 235 NM. THE TERM LIGHT EMITTING TRIODE (LET) DERIVES BECAUSE IT HAS A GRID BETWEEN THE CATHODE AND ANODE OF THE SOURCE AND TO DIFFERENTIATE IT FROM TRADITIONAL PN-JUNCTION LIGHT EMITTING DIODES (LEDS). ELECTRON BEAM PUMPING AVOIDS THE ESSENTIALLY INSURMOUNTABLE PROBLEMS WITH THE PN JUNCTION TECHNOLOGY OF LEDS SUCH AS REALIZATION OF BOTH A HIGH HOLE CONCENTRATION AND LOW-RESISTIVITY P-TYPE ALGAN WITH HIGH ENOUGH ALN MOLE FRACTION TO SEPARATE RAMAN AND FLUORESCENCE SPECTRAL REGIONS. ANOTHER FEATURE OF THE LET IS THAT IT IS INSENSITIVE TO HIGH ENERGY IONIZING RADIATION EXPECTED IN THE REGIONS OF MANY CELESTIAL BODIES OF INTEREST. THE CORE TECHNOLOGY THAT ENABLES THE PROPOSED DUV-LET IS A PATENTED (USP 7 590 161  2009) SUB-250 NM  NARROW LINEWIDTH  DEEP UV SOURCE WHICH WAS INITIALLY DEVELOPED WITH FUNDING FROM NASA/ASTID AND DOD/DARPA CONTRACTS WHICH BROUGHT THE BASIC TRL LEVEL UP ABOUT 2. THIS PROPOSED EFFORT WILL FURTHER IMPROVE UPON THESE PRIOR NASA AND DOD FUNDED EFFORTS TO DEMONSTRATE A FUNCTIONAL 1 CC DUV-LET AT TRL LEVEL BETWEEN 3 AND 4.","","2018","$297,521","$0","$297,521","NASA Science Grants","National Aeronautics and Space Administration","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","43.001","","California", "Delaware","USA","publicly traded","chemicals","chemicals"
"MOHAWK INNOVATIVE TECHNOLOGY, INC.","","United States","","","","","DE-FE0031148 ''ULTRA-HIGH TEMPERATURE ANODE RECYCLE BLOWER FOR SOLID OXIDE FUEL CELL'' AMENDMENT 0001-CHANGE FEDERAL PROGRAM MANAGER","","2018","$299,055","$0","$299,055","Fossil Energy Research and Development","Energy Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","81.089","","New York", "","","","",""
"GRANT AVIATION, INC.","","United States","","","","","ESSENTIAL AIR SERVICE","","2018","$299,340","$0","$299,340","Payments for Essential Air Services","Transportation Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","20.901","","Alaska", "","","","",""
"APTITUDE MEDICAL SYSTEMS, INC.","","United States","","","","","NEXT-GENERATION APTAMERS FOR FASTER, SAFER, MORE SENSITIVE IN VIVO PET IMAGING","","2018","$299,544","$0","$299,544","Discovery and Applied Research for Technological Innovations to Improve Human Health","Health and Human Services Department: National Institutes of Health","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","93.286","","California", "","","","",""
"METAMEDIA TRAINING INTERNATIONAL, INC.","","United States","","","","","CRUSH SMARTPHONE APP FOR ADVANCING TEEN PREGNANCY PREVENTION COMMERCIALIZATION READINESS","","2018","$299,749","$0","$299,749","Food and Drug Administration Research Grants","Health and Human Services Department: Food and Drug Administration","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","93.103","","Maryland", "","","","",""
"ONPOINT SURGICAL, INC.","","United States","","","","","COST EFFICIENT OPTICAL GUIDANCE FOR SPINAL FUSION USING EXISTING RADIOGRAPHIC EQUIPMENT AND AUGMENTED REALITY DISPLAY","","2018","$299,792","$0","$299,792","Discovery and Applied Research for Technological Innovations to Improve Human Health","Health and Human Services Department: National Institutes of Health","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","93.286","","Massachusetts", "","","","",""
"GEORGIA TECH APPLIED RESEARCH CORPORATION","","United States","","","","","NSF INCLUDES DDLP: INCREASING MINORITY PRESENCE WITHIN ACADEMIA THROUGH CONTINUOUS TRAINING (IMPACT)","","2018","$299,856","$0","$299,856","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","Georgia", "","","","",""
"PACIFIC RESOURCES FOR EDUCATION AND LEARNING","","United States","","","","","INCLUDES DDLP: WATER NETWORK FOR TEAM STEM (WANTS)","","2018","$299,900","$0","$299,900","NSF Geosciences Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.05","","Hawaii", "","","","",""
"WEST VIRGINIA UNIVERSITY RESEARCH CORPORATION","","United States","","","","","ECOLOGICAL SIMILITUDE AND SCALING FOR ROBUST MODELING AND PREDICTIONS OF ECOSYSTEM CARBON, WATER AND ENERGY FLUXES","","2018","$299,999","$0","$299,999","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","West Virginia", "","","","",""
"ALPERIN NONINVASIVE DIAGNOSTICS  INC","","United States","","","","","ELEVATED INTRACRANIAL PRESSURE (ICP) DUE TO MICROGRAVITY-INDUCED CEPHALAD FLUID REDISTRIBUTION IS CURRENTLY THOUGHT TO BE THE MAJOR CONTRIBUTING FACTOR TO THE VISUAL IMPAIRMENT/INTRACRANIAL PRESSURE (VIIP) SYNDROME. CURRENTLY  THE ONLY AVAILABLE MEASUREMENT OF ICP IS A POSTFLIGHT OPENING PRESSURE VIA LUMBAR PUNCTURE (LP). GIVEN THE INVASIVENESS OF LP AND THE RELUCTANCE TO UTILIZE IT IN THE ABSENCE OF CLINICAL INDICATIONS  ICP ELEVATIONS ARE YET TO BE CONSISTENTLY DOCUMENTED IN CREWMEMBERS. IN ADDITION  THE CAUSE FOR ICP ELEVATION IN-FLIGHT HAS NOT YET BEEN ESTABLISHED. CURRENT INVESTIGATIONS OF THE VIIP SYNDROME MAINLY FOCUS ON THE VASCULAR AND INTERSTITIAL COMPONENTS OF THE CEPHALAD FLUID REDISTRIBUTION. AN OVERLOOKED COMPONENT OF FLUID SHIFT THAT THIS STUDY WILL EVALUATED IS THE REDISTRIBUTION OF CEREBROSPINAL FLUID (CSF) IN THE CRANIOSPINAL SYSTEM AND ITS EFFECT ON ICP. AS THE CRANIUM CONTAINS MORE CSF THAN BLOOD  THIS COMPONENT OF FLUID SHIFT MAY BE A LARGER CONTRIBUTOR TO ICP ELEVATIONS THAN THE VASCULAR/INTERSTITIAL COMPONENTS. THE POTENTIAL REDUCTION IN SPINAL CANAL COMPLIANCE BUFFERING DUE TO SPINAL ELONGATION MIGHT CONTRIBUTE TO ICP ELEVATIONS AS WELL.THE PROPOSED STUDY WILL UTILIZE SPECIALIZED MRI SEQUENCES  COLLECTED ON 7 SHORT-DURATION AND 10 LONG-DURATION CREWMEMBERS  TO ASSESS CSF HYDRODYNAMICS AND VASCULAR HEMODYNAMICS AND THEIR RELATIONSHIP TO VIIP. KEY PARAMETERS THAT WILL BE ANALYZED INCLUDE TOTAL CEREBRAL BLOOD FLOW  VENOUS DRAINAGE  INTRACRANIAL COMPLIANCE AND PRESSURE AS WELL AS CRANIO-SPINAL COMPLIANCE DISTRIBUTION. THESE VALUES WILL BE CORRELATED WITH CHANGES IN VISUAL/OCULAR FUNCTION AND MORPHOLOGY  AND MEASURES OF SPINAL ELONGATION. EFFECTS OF MISSION DURATION WILL BE ELUCIDATED BY COMPARING SHORT AND LONG-DURATION CREWMEMBERS. THESE ANALYSES WILL ELUCIDATE THE ROLE OF CEPHALAD CSF SHIFT IN THE ETIOLOGY OF VIIP  WILL DEFINE HYDRODYNAMIC MEASURES THAT MAY PREDICT SUSCEPTIBILITY TO VIIP  AND MAY LEAD TO IDENTIFICATION OF NOVEL COUNTERMEASURES. THIS STUDY WILL BE CONSTRAINED BY THE NUMBER OF SUBJECT MRIS AVAILABLE FOR ANALYSIS  COMPARED WITH AN OPTIMAL TERRESTRIAL STUDY WHERE MORE SUBJECTS WOULD BE AVAILABLE FOR STUDY.","","2018","$300,000","$0","$300,000","NASA Exploration Grants","National Aeronautics and Space Administration","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","43.003","","Florida", "","","","",""
"AVISTA CORPORATION","Avista","United States","","","","","AVISTA:  CHANGE PROGRAM DIRECTOR TO KORY HEDMAN ----------","","2018","$300,000","$0","$300,000","Advanced Research Projects Agency - Energy","Energy Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","81.135","","Washington", "Washington","USA","publicly traded","utilities and power generation","utilities"
"CALIFORNIA CAPITAL FDC","","United States","","","","","PROCUREMENT TECHNICAL ASSISTANCE PROGRAM","","2018","$300,000","$0","$300,000","Procurement Technical Assistance For Business Firms","Defense Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","12.002","","California", "","","","",""
"OMNITEK PARTNERS LLC","","United States","","","","","DESIGN OF SELF-POWERED ELECTRICAL INITIATORS AND PACKAGING AND MANUFACTURING PROCESSES FOR ARL CORE COMPETENCY 1.2.1. MICROELECTROMECHANICAL SYSTEMS","","2018","$300,000","$0","$300,000","Basic Scientific Research","Defense Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","12.431","","New York", "","","","",""
"THERMADYNAMICS RAIL LLC","","United States","","","","","LOCOMOTIVE WASTE HEAT RECOVER SYSTEM INTEGRATION, SAFETY AND FIELD DEMONSTRATION (PHASE III)","","2018","$300,000","$0","$300,000","Railroad Research and Development","Transportation Department: Federal Railroad Administration","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","20.313","","Virginia", "","","","",""
"WEST VIRGINIA UNIVERSITY RESEARCH CORPORATION","","United States","","","","","NANOMANUFACTURING OF SINGLE MOLECULE PATTERNS USING A MICROTUBULE PEN","","2018","$301,325","$0","$301,325","NSF Engineering Grants","National Science Foundation","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","47.041","","West Virginia", "","","","",""
"PLAQUEMINES PARISH SHERIFF","","United States","","","","","PORT SECURITY GRANT PROGRAM","","2018","$303,339","$0","$303,339","Port Security Grant Program","Homeland Security Department","federal grant","","","","","USA Spending: http://www.usaspending.gov/","Year is fiscal year.","federal","97.056","","Louisiana", "","","","",""
